References,Value,Footprint,manf#,Quantity
GND501,GND,TestPoint_THTPad_D2.0mm_Drill1.0mm,,1
JP410,Jumper_2_Bridged,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
JP501,Jumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
JP502,SolderJumper,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
N101,Housing_Pad,Guard_ring,,1
NTC501,100kNTC,R_0805_2012Metric,ABNTC-0805-104J-4250F-T,1
PS501,TBA 1-0512,Converter_DCDC_Murata_MEE1SxxxxSC_THT,TBA 1-0512,1
PS502,TEA 1-0505,Converter_DCDC_Murata_MEE1SxxxxSC_THT,TEA 1-0505,1
Q501,60V N channel,SOT-23_copy,NX7002AKVL,1
Q502,"TK13P25D,RQ",TO-252-2,"TK13P25D,RQ",1
T501,PA2467NL,PA2467NL,PA2467NL,1
VOUT_GND501,GND2,TestPoint_THTPad_D2.0mm_Drill1.0mm,,1
"J403, J404",RJE721881411,ethernet_RJE721881411,RJE721881411,2
"J501, J502",B2B-EH-A(LF)(SN),JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,B2B-EH-A(LF)(SN),2
J101,Wago 6 contacts,Harting - 15contacts and Wago,,1
J505,Header_2_54_01x03,PinHeader_1x03_P2.54mm_Vertical,,1
